Código da IES,Nome da IES,Sigla da IES,Município,UF,Categoria Administrativa,Organização Acadêmica
3538,FACULDADES INTEGRADAS SÉVIGNÉ,FAE SÉVIGNÉ,PORTO ALEGRE,RS,Privada,Faculdade
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,CRUZ DAS ALMAS,BA,Pública,Universidade
265,FACULDADES INTEGRADAS DE OURINHOS,FIO,OURINHOS,SP,Privada,Faculdade
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,CUIABA,MT,Pública,Universidade
4148,FACULDADE DE TECNOLOGIA SENAI SÃO JOSÉ,SENAISC,SAO JOSE,SC,Privada,Faculdade
1581,FACULDADE DA CIDADE DE SANTA LUZIA,FACSAL,SANTA LUZIA,MG,Privada,Faculdade
83,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,ITAJAI,SC,Privada,Universidade
438,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA,FFCL,ITUVERAVA,SP,Privada,Faculdade
1082,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",IFRN,NATAL,RN,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,VITORIA,ES,Pública,Universidade
4633,FACULDADE ANGLO-AMERICANO DE PASSO FUNDO,FAAPF,PASSO FUNDO,RS,Privada,Faculdade
587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,RECIFE,PE,Pública,Universidade
1556,FACULDADE SETE DE SETEMBRO,FA7,FORTALEZA,CE,Privada,Faculdade
2532,FACULDADE DO SUDESTE GOIANO,FASUG,PIRES DO RIO,GO,Privada,Faculdade
1276,INSTITUTO TAUBATÉ DE ENSINO SUPERIOR,I.T.E.S.,TAUBATE,SP,Privada,Faculdade
922,FACULDADE REGES DE DRACENA,FCGD,DRACENA,SP,Privada,Faculdade
208,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,RIBEIRAO PRETO,SP,Privada,Universidade
3463,FACULDADE DE DIREITO DE PASSOS,FADIPA,PASSOS,MG,Privada,Faculdade
10685,FACULDADE NORTE CAPIXABA DE SAO MATEUS,"MULTIVIX SÃOMATEUS",SAO MATEUS,ES,Privada,Faculdade
2369,INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO,INESA,JOINVILLE,SC,Privada,Faculdade
1624,FACULDADE MARECHAL RONDON,FMR,SAO MANUEL,SP,Privada,Faculdade
93,FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,JUNDIAI,SP,Pública,Faculdade
1492,FACULDADE PITÁGORAS DE UBERLÂNDIA,PIT UBERLÂNDIA,UBERLANDIA,MG,Privada,Faculdade
5215,FACULDADES INTEGRADAS PADRE ALBINO,FIPA,CATANDUVA,SP,Privada,Faculdade
3149,FACULDADE PITÁGORAS DE DIVINÓPOLIS - FPD,FPD,DIVINOPOLIS,MG,Privada,Faculdade
532,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUI,IJUI,RS,Privada,Universidade
5370,FACULDADES UNIFICADAS DE TEÓFILO OTONI,FUTO,TEOFILO OTONI,MG,Privada,Faculdade
4863,FACULDADE PITÁGORAS DE POÇOS DE CALDAS,,POCOS DE CALDAS,MG,Privada,Faculdade
5288,FACULDADE ANHANGÜERA DE RIBEIRÃO PRETO,,RIBEIRAO PRETO,SP,Privada,Faculdade
796,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SÃO LOURENÇO,EDUVALE,JACIARA,MT,Privada,Faculdade
1048,FACULDADE CAMPOS ELÍSEOS,FCE,SAO PAULO,SP,Privada,Faculdade
694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,CAMPO GRANDE,MS,Pública,Universidade
510,ESCOLA DE ENFERMAGEM WENCESLAU BRAZ,EEWB,ITAJUBA,MG,Privada,Faculdade
3428,FACULDADE ALFA,FA,PRAIA GRANDE,SP,Privada,Faculdade
2015,INSTITUTO SANTO TOMÁS DE AQUINO,ISTA,BELO HORIZONTE,MG,Privada,Faculdade
18,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,PELOTAS,RS,Privada,Universidade
3596,FACULDADE AMÉRICA LATINA,,CAXIAS DO SUL,RS,Privada,Faculdade
2744,INSTITUTO SUPERIOR DE EDUCAÇÃO VERA CRUZ,ISE VERA CRUZ,SAO PAULO,SP,Privada,Faculdade
221,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,SAO PAULO,SP,Privada,Universidade
3793,FACULDADE FRUTAL,FAF,FRUTAL,MG,Privada,Faculdade
5555,FACULDADE ANHANGUERA DE JACAREÍ,,JACAREI,SP,Privada,Faculdade
1166,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",IFPB,JOAO PESSOA,PB,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
3790,FACULDADE DE TECNOLOGIA ENSITEC,ENSITEC,CURITIBA,PR,Privada,Faculdade
2950,FACULDADE DE DESENVOLVIMENTO DO RIO GRANDE DO SUL,FADERGS,PORTO ALEGRE,RS,Privada,Faculdade
2896,FACULDADE SATC,FASATC,CRICIUMA,SC,Privada,Faculdade
4878,FACULDADE ANHANGUERA DE ITAPECERICA DA SERRA,,"ITAPECERICA DASERRA",SP,Privada,Faculdade
2328,FACULDADE ITEANA DE BOTUCATU,FITB,BOTUCATU,SP,Privada,Faculdade
1574,FACULDADE EDUCACIONAL DE MEDIANEIRA,FACEMED,MEDIANEIRA,PR,Privada,Faculdade
5315,FACULDADES UNIFICADAS DE IÚNA,FUI,IUNA,ES,Privada,Faculdade
590,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,BELEM,PA,Pública,Universidade
1786,INSTITUTO MACHADENSE DE ENSINO SUPERIOR,IMES,MACHADO,MG,Privada,Faculdade
1462,INSTITUTO PARAIBANO DE ENSINO RENOVADO,INPER,JOAO PESSOA,PB,Privada,Faculdade
3495,FACULDADE PINHALZINHO,HORUS,PINHALZINHO,SC,Privada,Faculdade
4756,CENTRO UNIVERSITÁRIO MUNICIPAL DE SÃO JOSÉ,USJ,SAO JOSE,SC,Pública,Centro Universitário
1898,FACULDADE DO LITORAL SUL PAULISTA,FALS,PRAIA GRANDE,SP,Privada,Faculdade
626,FACULDADE CENECISTA DE OSÓRIO,FACOS,OSORIO,RS,Privada,Faculdade
1945,FACULDADE DE SORRISO,FAIS,SORRISO,MT,Privada,Faculdade
1663,FACULDADE ARAGUAIA,FARA,GOIANIA,GO,Privada,Faculdade
126,INSTITUTO NACIONAL DE TELECOMUNICAÇÕES,INATEL,"SANTA RITA DOSAPUCAI",MG,Privada,Faculdade
1660,FACULDADE DE CIÊNCIAS SOCIAIS E TECNOLÓGICAS FACITEC,FACITEC,BRASILIA,DF,Privada,Faculdade
1879,FACULDADE EDUCACIONAL DE ARAUCÁRIA,FACEAR,ARAUCARIA,PR,Privada,Faculdade
1584,FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ,FATEC GT,GUARATINGUETA,SP,Pública,Faculdade
2766,FACULDADE EMPRESARIAL DE CHAPECÓ,FAEM,CHAPECO,SC,Privada,Faculdade
14243,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE ITABIRITO,,ITABIRITO,MG,Privada,Faculdade
20,UNIVERSIDADE DE PASSO FUNDO,UPF,PASSO FUNDO,RS,Privada,Universidade
3876,AVM - FACULDADE INTEGRADA,IAVM,RIO DE JANEIRO,RJ,Privada,Faculdade
3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SAO CRISTOVAO,SE,Pública,Universidade
5312,FACULDADES ATIBAIA,FAAT,ATIBAIA,SP,Privada,Faculdade
5511,FACULDADE CAMPO REAL,CAMPO REAL,GUARAPUAVA,PR,Privada,Faculdade
1469,FACULDADE DE CIÊNCIAS SOCIAIS DE FLORIANÓPOLIS,FCSF,FLORIANOPOLIS,SC,Privada,Faculdade
558,FACULDADE DE ARTES DO PARANÁ,FAP,CURITIBA,PR,Pública,Faculdade
1814,FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DE DIAMANTINO,UNED,DIAMANTINO,MT,Privada,Faculdade
3710,ESCOLA SUPERIOR NACIONAL DE SEGUROS,ESNS,RIO DE JANEIRO,RJ,Privada,Faculdade
547,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RIO DE JANEIRO,RJ,Pública,Universidade
1281,FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA,FAIT,ITAPEVA,SP,Privada,Faculdade
3522,FACULDADE CATÓLICA DE POUSO ALEGRE,FACAPA,POUSO ALEGRE,MG,Privada,Faculdade
1396,CENTRO UNIVERSITÁRIO DINÂMICA DAS CATARATAS,UDC,FOZ DO IGUACU,PR,Privada,Centro Universitário
2131,FACULDADE FAPAN,FAPAN,"SAO BERNARDO DOCAMPO",SP,Privada,Faculdade
923,FACULDADE DE ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS DE SÃO ROQUE,FACCSR,SAO ROQUE,SP,Privada,Faculdade
1978,FACULDADE METROPOLITANA DA GRANDE FORTALEZA,FAMETRO,FORTALEZA,CE,Privada,Faculdade
1640,FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS,FACULDADE AGES,PARIPIRANGA,BA,Privada,Faculdade
1984,FACULDADE DE CIÊNCIAS GERENCIAIS DE MANHUAÇU,FACIG,MANHUACU,MG,Privada,Faculdade
2389,FACULDADE DE FILOSOFIA E TEOLOGIA PAULO VI,FFTP,MOGI DAS CRUZES,SP,Privada,Faculdade
1046,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,UNILAGO,"SAO JOSE DO RIOPRETO",SP,Privada,Faculdade
370,FACULDADE PAULISTA DE ARTES,FPA,SAO PAULO,SP,Privada,Faculdade
1038,FACULDADES INTEGRADAS DE TRÊS LAGOAS,AEMS,TRES LAGOAS,MS,Privada,Faculdade
1857,FACULDADE DEHONIANA,DEHONIANA,TAUBATE,SP,Privada,Faculdade
1681,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS IBMEC,"FACULDADESIBMEC",RIO DE JANEIRO,RJ,Privada,Faculdade
13133,FACULDADE DE GOIÂNIA - UNIDADE 1,FAG,GOIANIA,GO,Privada,Faculdade
952,UNIVERSIDADE SANTA CECÍLIA,UNISANTA,SANTOS,SP,Privada,Universidade
2478,FACULDADE DE INTEGRAÇÃO DO ENSINO SUPERIOR DO CONE SUL,FISUL,GARIBALDI,RS,Privada,Faculdade
1379,FACULDADES INTEGRADAS SÃO PEDRO,FAESA,VITORIA,ES,Privada,Faculdade
24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,ILHEUS,BA,Pública,Universidade
4652,FACULDADE ANHANGÜERA DE SÃO JOSÉ,,"SAO JOSE DOSCAMPOS",SP,Privada,Faculdade
420,UNIVERSIDADE DE MARÍLIA,UNIMAR,MARILIA,SP,Privada,Universidade
1847,FACULDADE ATENAS MARANHENSE DE IMPERATRIZ,FAMA,IMPERATRIZ,MA,Privada,Faculdade
1810,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,SAO PAULO,SP,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
2814,FACULDADE SÃO SEBASTIÃO,,SAO SEBASTIAO,SP,Privada,Faculdade
2755,FACULDADE DO VALE DO ITAJAÍ MIRIM,FAVIM,BRUSQUE,SC,Privada,Faculdade
10016,FACULDADE OBOÉ - FACO,FACO,FORTALEZA,CE,Privada,Faculdade
109,FACULDADES INTEGRADAS RUI BARBOSA,FIRB,ANDRADINA,SP,Privada,Faculdade
1762,FACULDADE DE TECNOLOGIA E NEGÓCIOS CARLOS DRUMMOND DE ANDRADE,FTNCDA,SAO PAULO,SP,Privada,Faculdade
1381,FACULDADE MARTHA FALCÃO,FMF,MANAUS,AM,Privada,Faculdade
1763,FACULDADE DE TECNOLOGIA SENAI CHAPECÓ,SENAI,CHAPECO,SC,Privada,Faculdade
736,FACULDADE PITÁGORAS DE LINHARES,,LINHARES,ES,Privada,Faculdade
80,CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,RIO DO SUL,SC,Privada,Centro Universitário
1811,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFG,GOIANIA,GO,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
166,"FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO",,"SANTA RITA DOSAPUCAI",MG,Privada,Faculdade
4162,FACULDADE DE TECNOLOGIA SENAC GOIÁS,,GOIANIA,GO,Privada,Faculdade
1735,FACULDADE DE CIÊNCIAS APLICADAS DOUTOR LEÃO SAMPAIO,FLS,"JUAZEIRO DONORTE",CE,Privada,Faculdade
1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,SAO PAULO,SP,Privada,Centro Universitário
439,FACULDADE DOUTOR FRANCISCO MAEDA,FAFRAM,ITUVERAVA,SP,Privada,Faculdade
405,FOCCA - FACULDADE DE OLINDA,FOCCA,OLINDA,PE,Privada,Faculdade
2571,FACULDADE REDENTOR,FACREDENTOR,ITAPERUNA,RJ,Privada,Faculdade
3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,PALMAS,TO,Pública,Universidade
1840,FACULDADE CASTELO BRANCO,FCB,COLATINA,ES,Privada,Faculdade
5099,FACULDADE DE TECNOLOGIA DE SÃO BERNARDO DO CAMPO,FATEC-SB,"SAO BERNARDO DOCAMPO",SP,Pública,Faculdade
1219,INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR,IIES,ITAPETININGA,SP,Privada,Faculdade
4751,FACULDADE DE TECNOLOGIA E CIENCIAS DO NORTE DO PARANÁ,FATECIE,PARANAVAI,PR,Privada,Faculdade
3099,FACULDADE INTERNACIONAL DA PARAÍBA,FPB,JOAO PESSOA,PB,Privada,Faculdade
5633,FACULDADE DE TECNOLOGIA DE BRAGANÇA PAULISTA,,"BRAGANCAPAULISTA",SP,Pública,Faculdade
440,FACULDADE DE DIREITO DE ITÚ,FADITU,ITU,SP,Privada,Faculdade
1568,FACULDADES INTEGRADAS DE CARATINGA,FIC,CARATINGA,MG,Privada,Faculdade
1765,FACULDADE DE JOSÉ BONIFÁCIO,FJB,JOSE BONIFACIO,SP,Privada,Faculdade
3189,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",IFMG,BELO HORIZONTE,MG,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,BELEM,PA,Pública,Universidade
810,CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE,CTESOP,"ASSISCHATEAUBRIAND",PR,Privada,Faculdade
4450,FACULDADE METROPOLITANA DA AMAZÔNIA,FAMAZ,BELEM,PA,Privada,Faculdade
33,FACULDADE DE TECNOLOGIA DE SOROCABA,FATEC SO,SOROCABA,SP,Pública,Faculdade
2168,FACULDADE CAMPO GRANDE,FCG,CAMPO GRANDE,MS,Privada,Faculdade
1632,FACULDADE PITÁGORAS DE LONDRINA,,LONDRINA,PR,Privada,Faculdade
13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,CAXIAS DO SUL,RS,Privada,Universidade
802,CENTRO UNIVERSITÁRIO CARIOCA,UNICARIOCA,RIO DE JANEIRO,RJ,Privada,Centro Universitário
271,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,"PRESIDENTEPRUDENTE",SP,Privada,Universidade
594,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET/MG,BELO HORIZONTE,MG,Pública,Centro Federal de Educação Tecnológica
5668,FACULDADE ANHANGUERA DE JOINVILLE,,JOINVILLE,SC,Privada,Faculdade
1862,FACULDADE DA REGIÃO SERRANA,FARESE,"SANTA MARIA DEJETIBA",ES,Privada,Faculdade
1679,FACULDADE DE CAMPINA GRANDE DO SUL,FACSUL,"CAMPINA GRANDEDO SUL",PR,Privada,Faculdade
1309,FACULDADE JESUS MARIA JOSÉ,FAJESU,BRASILIA,DF,Privada,Faculdade
3754,FACULDADES INTEGRADAS ADVENTISTAS DE MINAS GERAIS,FADMINAS,LAVRAS,MG,Privada,Faculdade
1045,CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,LEME,SP,Privada,Centro Universitário
789,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,BOA VISTA,RR,Pública,Universidade
1771,FACULDADE SANTA MARIA,FSM,RECIFE,PE,Privada,Faculdade
1788,FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA,FAAL,LIMEIRA,SP,Privada,Faculdade
5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,TERESINA,PI,Pública,Universidade
614,FACULDADE DE FILOSOFIA SANTA DOROTÉIA,FFSD,NOVA FRIBURGO,RJ,Privada,Faculdade
1812,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS",IFAM,MANAUS,AM,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
2189,FACULDADE DO MARANHÃO,FACAM-MA,SAO LUIS,MA,Privada,Faculdade
3768,FACULDADE IBGEN - INSTITUTO BRASILEIRO DE GESTÃO DE NEGÓCIOS,IBGEN,PORTO ALEGRE,RS,Privada,Faculdade
3613,FACULDADES INTEGRADAS IESGO,IESGO,FORMOSA,GO,Privada,Faculdade
1418,CENTRO UNIVERSITÁRIO TOLEDO,UNITOLEDO,ARACATUBA,SP,Privada,Centro Universitário
227,UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,SANTOS,SP,Privada,Universidade
1774,FACULDADE EDUCACIONAL DE PONTA GROSSA,UNIÃO,PONTA GROSSA,PR,Privada,Faculdade
705,FACULDADE SÃO JOSÉ,FSJ,RIO DE JANEIRO,RJ,Privada,Faculdade
4765,FACULDADE DE TECNOLOGIA ALFA DE UMUARAMA,,UMUARAMA,PR,Privada,Faculdade
1322,FACULDADE EDUVALE DE AVARÉ,EDUVALE,AVARE,SP,Privada,Faculdade
1850,FACULDADE ALVORADA DE TECNOLOGIA E EDUCAÇÃO DE MARINGÁ,"FACULDADEALVORADA",MARINGA,PR,Privada,Faculdade
545,FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS DE ITABIRA,FACCI,ITABIRA,MG,Privada,Faculdade
3921,FACULDADE ARNALDO HORÁCIO FERREIRA,FAAHF,"LUIS EDUARDOMAGALHAES",BA,Privada,Faculdade
1695,FACULDADE DE EDUCAÇÃO DE BOM DESPACHO,FACEB,BOM DESPACHO,MG,Privada,Faculdade
3879,FACULDADE MAURÍCIO DE NASSAU DE CAMPINA GRANDE,FMN CG,CAMPINA GRANDE,PB,Privada,Faculdade
707,CENTRO UNIVERSITÁRIO CENTRAL PAULISTA,UNICEP,SAO CARLOS,SP,Privada,Centro Universitário
1559,CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO,UNESC,COLATINA,ES,Privada,Centro Universitário
534,ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,EBMSP,SALVADOR,BA,Privada,Faculdade
1442,FACULDADE DE DIREITO DE TANGARÁ DA SERRA,,TANGARA DA SERRA,MT,Privada,Faculdade
3874,FACULDADE PROJEÇÃO DE PLANALTINA,FAPRO,BRASILIA,DF,Privada,Faculdade
2974,FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DE PRIMAVERA DO LESTE,,"PRIMAVERA DOLESTE",MT,Privada,Faculdade
15639,FACULDADE DE TECNOLOGIA DE ITAQUAQUECETUBA,Fatec Itaqua,ITAQUAQUECETUBA,SP,Pública,Faculdade
367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MONTES CLAROS,MG,Pública,Universidade
75,FACULDADE ESTADUAL DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARANAVAÍ,FAFIPA,PARANAVAI,PR,Pública,Faculdade
792,CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ,CESUPA,BELEM,PA,Privada,Centro Universitário
256,"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE PIRAJU",FAFIP,PIRAJU,SP,Privada,Faculdade
299,FACULDADE DE JANDAIA DO SUL,FAFIJAN,JANDAIA DO SUL,PR,Privada,Faculdade
4846,FACULDADE VÉRTICE,VÉRTICE,MATIPO,MG,Privada,Faculdade
1873,FACULDADE MERCÚRIO,FAMERC,RIO DE JANEIRO,RJ,Privada,Faculdade
2308,FACULDADE GEREMÁRIO DANTAS,SFNSC,RIO DE JANEIRO,RJ,Privada,Faculdade
1021,FACULDADE DE CIÊNCIAS DE TIMBAÚBA,FACET,TIMBAUBA,PE,Privada,Faculdade
1307,FACULDADE DE CIÊNCIAS HUMANAS DE GARÇA,FAHU,GARCA,SP,Privada,Faculdade
466,UNIVERSIDADE ANHEMBI MORUMBI,UAM,SAO PAULO,SP,Privada,Universidade
2450,FACULDADE PROMOVE DE BELO HORIZONTE,PROMOVE,BELO HORIZONTE,MG,Privada,Faculdade
2537,FACULDADE SÃO GERALDO,FSG,CARIACICA,ES,Privada,Faculdade
1444,FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA,FIEL,LIMEIRA,SP,Privada,Faculdade
84,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ,FAFIMA,MACAE,RJ,Privada,Faculdade
4983,FACULDADE DE SÃO JOSÉ DOS CAMPOS,BILAC,"SAO JOSE DOSCAMPOS",SP,Privada,Faculdade
316,UNIVERSIDADE NOVE DE JULHO,UNINOVE,SAO PAULO,SP,Privada,Universidade
1334,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS - FACISA,FACISA,CAMPINA GRANDE,PB,Privada,Faculdade
1311,TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS,TREVISAN,SAO PAULO,SP,Privada,Faculdade
1064,FACULDADE COMUNITÁRIA DE VITÓRIA,FCV,VITORIA,ES,Privada,Faculdade
3462,FACULDADE DE ENFERMAGEM DE PASSOS,FAENPA,PASSOS,MG,Privada,Faculdade
649,CENTRO UNIVERSITÁRIO DE UNIÃO DA VITÓRIA,UNIUV,UNIAO DA VITORIA,PR,Pública,Centro Universitário
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,MACEIO,AL,Pública,Universidade
1502,FACULDADE PITÁGORAS DE JUNDIAÍ,PIT JUNDIAÍ,JUNDIAI,SP,Privada,Faculdade
2964,FACULDADE PROJEÇÃO DO GUARÁ,,BRASILIA,DF,Privada,Faculdade
4428,FACULDADE PROFESSOR MIGUEL ÂNGELO DA SILVA SANTOS,FEMASS,MACAE,RJ,Pública,Faculdade
4107,FACULDADE DE TECNOLOGIA SENAI PORTO ALEGRE,FATEC SENAI,PORTO ALEGRE,RS,Privada,Faculdade
908,FACULDADE ALAGOANA DE ADMINISTRAÇÃO,FAA,MACEIO,AL,Privada,Faculdade
1980,FACULDADE SINERGIA,SINERGIA,NAVEGANTES,SC,Privada,Faculdade
737,CENTRO UNIVERSITÁRIO SÃO CAMILO,SAO CAMILO,SAO PAULO,SP,Privada,Centro Universitário
5593,FACULDADE ADVENTISTA DE HORTOLÂNDIA,FAH,HORTOLANDIA,SP,Privada,Faculdade
664,UNIVERSIDADE VILA VELHA,UVV,VILA VELHA,ES,Privada,Universidade
2240,FACULDADE DE FORTALEZA,FAFOR,FORTALEZA,CE,Privada,Faculdade
918,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE CASCAVEL,FCSAC,CASCAVEL,PR,Privada,Faculdade
1666,FACULDADE NOVOS HORIZONTES,"NOVOSHORIZONTES",BELO HORIZONTE,MG,Privada,Faculdade
338,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,BELO HORIZONTE,MG,Privada,Universidade
548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,SAO LUIS,MA,Pública,Universidade
687,FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS LETRAS UNIÃO DA VITÓRIA,FAFIUV,UNIAO DA VITORIA,PR,Pública,Faculdade
2796,FACULDADE DE IPORÁ,FAI,IPORA,GO,Privada,Faculdade
15451,FACULDADE DE DIREITO DE IPATINGA,FADIPA,IPATINGA,MG,Privada,Faculdade
3649,FACULDADE CIDADE VERDE,FCV,MARINGA,PR,Privada,Faculdade
3169,FACULDADE DE TECNOLOGIA IBTA CAMPINAS,IBTA,CAMPINAS,SP,Privada,Faculdade
15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,PETROPOLIS,RJ,Privada,Universidade
4784,FACULDADE CDL,,FORTALEZA,CE,Privada,Faculdade
1820,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",IFPI,TERESINA,PI,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
4013,FACULDADE ANHANGUERA DE RIO CLARO,,RIO CLARO,SP,Privada,Faculdade
15680,FATEC CRUZEIRO PROF. WALDOMIRO MAY,,CRUZEIRO,SP,Pública,Faculdade
4045,FACULDADE DE TECNOLOGIA TUPY CURITIBA,FTT-CWB,CURITIBA,PR,Privada,Faculdade
3946,FACULDADE DE TECNOLOGIA SENAC TUBARÃO,SENAC,TUBARAO,SC,Privada,Faculdade
1122,FACULDADE REGES DE OSVALDO CRUZ,,OSVALDO CRUZ,SP,Privada,Faculdade
2271,FACULDADE PITÁGORAS DE IPATINGA,FPI,IPATINGA,MG,Privada,Faculdade
2084,FACULDADE CENECISTA DE NOVA PETRÓPOLIS,FACENP,NOVA PETROPOLIS,RS,Privada,Faculdade
1936,FACULDADE LA SALLE,,"LUCAS DO RIOVERDE",MT,Privada,Faculdade
3164,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",IFMT,CUIABA,MT,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
1201,FACULDADE DE ADMINISTRAÇÃO MILTON CAMPOS,FAMC,NOVA LIMA,MG,Privada,Faculdade
22,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,SAO PAULO,SP,Privada,Universidade
2676,FACULDADE LA SALLE,,MANAUS,AM,Privada,Faculdade
35,FACULDADE DE TECNOLOGIA DE AMERICANA,FATEC-AM,AMERICANA,SP,Pública,Faculdade
1630,FACULDADE ITABIRANA DE DESENVOLVIMENTO DAS CIÊNCIAS E TECNOLOGIAS,FATEC,ITABIRA,MG,Privada,Faculdade
76,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,BLUMENAU,SC,Pública,Universidade
2184,FACULDADE CENECISTA NOSSA SENHORA DOS ANJOS,FACENSA,GRAVATAI,RS,Privada,Faculdade
2465,FACULDADE DE DIREITO PROFESSOR DAMÁSIO DE JESUS,FDDJ,SAO PAULO,SP,Privada,Faculdade
1342,FACULDADE COMUNITÁRIA DE PEDAGOGIA DA SERRA,FCPS,SERRA,ES,Privada,Faculdade
4530,FACULDADE INTEGRADA TIRADENTES,FITS,MACEIO,AL,Privada,Faculdade
3515,FACULDADES INTEGRADAS DA VITÓRIA DE SANTO ANTÃO,FAINTVISA,"VITORIA DE SANTOANTAO",PE,Privada,Faculdade
