Código da IES,Nome da IES,Sigla da IES,Município,UF,Categoria Administrativa,Organização Acadêmica
596,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,DIAMANTINA,MG,Pública,Universidade
14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,SAO LEOPOLDO,RS,Privada,Universidade
4504,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,DOURADOS,MS,Pública,Universidade
17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,UBERLANDIA,MG,Pública,Universidade
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,CAMPINA GRANDE,PB,Pública,Universidade
1359,FACULDADE CAPIXABA DE NOVA VENÉCIA,"MULTIVIX NOVAVENÉCI",NOVA VENECIA,ES,Privada,Faculdade
994,FACULDADE FLAMA,,DUQUE DE CAXIAS,RJ,Privada,Faculdade
2177,INSTITUTO PAULISTA DE ENSINO,FIPEN,OSASCO,SP,Privada,Faculdade
609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,CASCAVEL,PR,Pública,Universidade
1565,FACULDADE UNIME DE CIÊNCIAS JURÍDICAS,FCJ,LAURO DE FREITAS,BA,Privada,Faculdade
769,FACULDADES INTEGRADAS DE NAVIRAÍ,FINAV,NAVIRAI,MS,Privada,Faculdade
601,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",IFRS,BENTO GONCALVES,RS,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
3940,FACULDADE DE ENSINO SUPERIOR SANTA BARBARA,FAESB,TATUI,SP,Privada,Faculdade
222,CENTRO UNIVERSITÁRIO DE VOTUPORANGA,UNIFEV,VOTUPORANGA,SP,Privada,Centro Universitário
1952,FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DO ARAGUAIA,"FACULDADESCATHEDRAL",BARRA DO GARCAS,MT,Privada,Faculdade
1068,FACULDADE ALDETE MARIA ALVES,FAMA,ITURAMA,MG,Privada,Faculdade
2037,FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS,FCT,LAURO DE FREITAS,BA,Privada,Faculdade
6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,OURO PRETO,MG,Pública,Universidade
2342,INSTITUTO SUPERIOR DE EDUCAÇÃO CERES,ISE-CERES,"SAO JOSE DO RIOPRETO",SP,Privada,Faculdade
2811,FACULDADE PAULUS DE TECNOLOGIA E COMUNICAÇÃO,FAPCOM,SAO PAULO,SP,Privada,Faculdade
574,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,SEROPEDICA,RJ,Pública,Universidade
107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,SAO JOAO DEL REI,MG,Pública,Universidade
1930,INSTITUTO SUPERIOR DE EDUCAÇÃO DE SÃO PAULO,"SINGULARIDADES/ISESP",SAO PAULO,SP,Privada,Faculdade
3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,PORTO ALEGRE,RS,Pública,Universidade
693,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RIO DE JANEIRO,RJ,Pública,Universidade
3308,FACULDADE DE TECNOLOGIA TERMOMECÂNICA,FTT,"SAO BERNARDO DOCAMPO",SP,Privada,Faculdade
1808,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,VITORIA,ES,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
